Reg. Nr;Nosaukums;ATVK;Adrese;Kategorija;X koordināta;Y koordināta;Tips;Tipa nosaukums
88015/3191;"SIA ""Lateva"" DUS";Talsu novads, Talsu pilsēta;Latvijas Republika, Talsu nov., Talsi, Laukmuižas iela, 16;Potenciāli piesārņota vieta;22.56875;57.23268611;21;DUS (GUS)
88015/4323;Valsts akciju sabiedrības „Kurzemes ceļi” filiāle „Talsu 18.ceļu rajons”;Talsu novads, Talsu pilsēta;Latvijas Republika, Talsu nov., Talsi, Kārļa Mīlenbaha iela, 25;Potenciāli piesārņota vieta;22.60702777;57.24211666;12;Ķīmiskās un naftas rūpniecības objekti
88015/4680;SIA „Talsu tipogrāfija”, katlu māja;Talsu novads, Talsu pilsēta;Latvijas Republika, Talsu nov., Talsi, Jaunā iela, 17;Potenciāli piesārņota vieta;22.58144722;57.24743055;19;Katlu mājas, koģenerācijas stacijas
88015/4726;"AS ""Talsu autotransports""";Talsu novads, Talsu pilsēta;Latvijas Republika, Talsu nov., Talsi, Stendes iela, 5;Potenciāli piesārņota vieta;22.58708055;57.23436666;21;DUS (GUS)
88155/3179;"SIA ""Talce"" bitumena bāze pie dzelzceļa stacijas ""Stende""";Talsu novads, Stendes pilsēta;Latvijas Republika, Talsu nov., Stende;Potenciāli piesārņota vieta;21.540833;57.141111;22;Naftas bāzes
88155/3180;Talsu MRS koksnes atkritumu izgāztuve;Talsu novads, Stendes pilsēta;Latvijas Republika, Talsu nov., Stende, Dumpīšu iela, 3;Potenciāli piesārņota vieta;22.53858888;57.14998055;18;Kokapstrādes rūpn.
88155/3181;"SIA ""Stena"" naftas bāze";Talsu novads, Stendes pilsēta;Latvijas Republika, Talsu nov., Stende, Stacijas iela, 2;Piesārņota vieta;22.53543888;57.14481111;22;Naftas bāzes
88155/3182;"SIA ""AGRO Stende"" minerālmēslu noliktava";Talsu novads, Stendes pilsēta;Latvijas Republika, Talsu nov., Stende, Stacijas iela, 25A;Potenciāli piesārņota vieta;22.54833333;57.14166666;43;Minerālmēslu un pesticīdu glabātavas
88155/4347;VAS  „Kurzemes ceļi” filiāles „Talsu 18. ceļu rajons” Stendes iecirknis;Talsu novads, Stendes pilsēta;Latvijas Republika, Talsu nov., Stende, Draudzības iela, 8;Potenciāli piesārņota vieta;22.53790277;57.13321944;93;Būvneicības objekti
88377/4752;SIA „AHN PO” kokogļu ražotne;Talsu novads, Ārlavas pagasts;Latvijas Republika, Talsu nov., Ārlavas pag., Elgo;Potenciāli piesārņota vieta;22.56222222;57.36111111;12;Ķīmiskās un naftas rūpniecības objekti
